ICD10Code	ICD10Description	AlcoholAbuse	Anemia	Anxiety	Bipolar	CAD	CardiacArrhythmias	Cerebrovascular	CHF	ChronicLiverDisease	ChronicRenalFailure	CPD	Depression	Diabetes	DrugAbuse	HTN	MalignantTumor	NicotineAbuse	PainArthritis	Psychosis	PTSD	PVD
F10.10	Alcohol abuse, uncomplicated	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.14	Alcohol abuse with alcohol-induced mood disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.150	Alcohol abuse with alcohol-induced psychotic disorder with delusions	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.151	Alcohol abuse with alcohol-induced psychotic disorder with hallucinations	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.159	Alcohol abuse with alcohol-induced psychotic disorder, unspecified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.180	Alcohol abuse with alcohol-induced anxiety disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.181	Alcohol abuse with alcohol-induced sexual dysfunction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.182	Alcohol abuse with alcohol-induced sleep disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.188	Alcohol abuse with other alcohol-induced disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.19	Alcohol abuse with unspecified alcohol-induced disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.94	Alcohol use, unspecified with alcohol-induced mood disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.950	Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.951	Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.959	Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.96	Alcohol use, unspecified with alcohol-induced persisting amnestic disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.97	Alcohol use, unspecified with alcohol-induced persisting dementia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.980	Alcohol use, unspecified with alcohol-induced anxiety disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.981	Alcohol use, unspecified with alcohol-induced sexual dysfunction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.982	Alcohol use, unspecified with alcohol-induced sleep disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.988	Alcohol use, unspecified with other alcohol-induced disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F10.99	Alcohol use, unspecified with unspecified alcohol-induced disorder	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D50.0	Iron deficiency anemia secondary to blood loss (chronic)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D50.1	Sideropenic dysphagia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D50.8	Other iron deficiency anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
